brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
丰田,凯美瑞,https://p3-dcd.byteimg.com/img/motor-img/46a9db48bccc28d5a4aadcbcf9b5df96~tplv-resize:640:0.png,19737,"[15.38, 24.38]",广汽丰田,15,中型车,汽油,2023.03,3年或10万公里
比亚迪,宋Pro DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/91291cb770c44932a3f6c14feedc82b3~tplv-resize:640:0.png,19000,"[13.4, 15.98]",比亚迪,16,紧凑型SUV,插电式混合动力,2023.05,6年或15万公里
丰田,RAV4荣放,https://p3-dcd.byteimg.com/img/motor-img/d1ac1817fbc495d355e029a8b10c68f8~tplv-resize:640:0.png,17948,"[15.08, 23.88]",一汽丰田,17,紧凑型SUV,汽油,2023.04,3年或10万公里
哈弗,哈弗H6,https://p3-dcd.byteimg.com/img/motor-img/418e967314e8e89e55e3b3b359377177~tplv-resize:640:0.png,17115,"[8.39, 14.2]",长城汽车,18,紧凑型SUV,汽油,2023.04,3年或10万公里
大众,帕萨特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9ddb9ea9b9047029212858b14caba31~tplv-resize:640:0.png,17077,"[15.69, 22.29]",上汽大众,19,中型车,汽油,2023.03,3年或10万公里
大众,迈腾,https://p9-dcd.byteimg.com/img/motor-img/89991e9322440768e5f67b551d6e7ee5~tplv-resize:640:0.png,16951,"[16.09, 22.79]",一汽-大众,20,中型车,汽油,2022.10,3年或10万公里
本田,本田CR-V,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bc20bec323e9460e862ac2b30b0f9991~tplv-resize:640:0.png,16911,"[15.18, 25.68]",东风本田,21,紧凑型SUV,汽油,2022.09,3年或10万公里
丰田,卡罗拉,https://p9-dcd.byteimg.com/img/motor-img/b2fb8f96191b30a2992fc05fb5af0a4c~tplv-resize:640:0.png,16092,"[8.48, 13.48]",一汽丰田,22,紧凑型车,汽油,2023.05,3年或10万公里
大众,途观L,https://p3-dcd.byteimg.com/img/motor-img/8201ed0a4daa11da0ecfc31209187bde~tplv-resize:640:0.png,16037,"[16.9, 22.58]",上汽大众,23,中型SUV,汽油,2022.08,3年或10万公里
五菱汽车,五菱宏光MINIEV,https://p3-dcd.byteimg.com/img/motor-img/6efbde874de291b8176fa27814b9bef3~tplv-resize:640:0.png,15844,"[2.98, 9.24]",上汽通用五菱,24,微型车,纯电动,2022.03,3年或10万公里
丰田,卡罗拉锐放,https://p9-dcd.byteimg.com/img/motor-img/58d617d55bda2d2a8aeb9b9d0e8ca823~tplv-resize:640:0.png,15633,"[10.98, 16.48]",一汽丰田,25,紧凑型SUV,汽油,2023.05,3年或10万公里
奥迪,奥迪A6L,https://p9-dcd.byteimg.com/img/motor-img/f8250b5672059b6380b04eeeb0d7fe33~tplv-resize:640:0.png,15126,"[35.94, 55.17]",一汽-大众奥迪,26,中大型车,汽油,2023.05,3年或10万公里
五菱汽车,五菱缤果,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/77736d383626466c92635aeec1d22049~tplv-resize:640:0.png,13892,"[5.98, 8.28]",上汽通用五菱,27,小型车,纯电动,2023.03,3年或10万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/img/motor-img/edde3643a62581f4d0234d9debf1ba1b~tplv-resize:640:0.png,13866,"[39.51, 52.45]",北京奔驰,28,中大型车,汽油,2022.09,3年不限公里
长安,逸动,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a86eeb4d09a3419e97f42af7cef99140~tplv-resize:640:0.png,13837,"[5.49, 8.59]",长安汽车,29,紧凑型车,汽油,2023.04,3年或10万公里
奔驰,奔驰C级,https://p3-dcd.byteimg.com/img/motor-img/fd1771f592228d51d414ac0e5fa2469c~tplv-resize:640:0.png,13791,"[29.23, 33.81]",北京奔驰,30,中型车,48V轻混系统,2023.03,3年不限公里
哈弗,哈弗大狗,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/99d2cc4666d54e5487bbda4ac6efe2f2~tplv-resize:640:0.png,13696,"[10.69, 15.49]",长城汽车,31,紧凑型SUV,汽油,2023.07,3年或10万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/03b95b9af0044017b23b3026fc8487e0~tplv-resize:640:0.png,13577,"[25.99, 29.59]",特斯拉中国,32,中型车,纯电动,2023.09,4年或8万公里
吉利汽车,星越L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e089916842c943ab8277e180dfb3240b~tplv-resize:640:0.png,13529,"[12.92, 17.72]",吉利汽车,33,紧凑型SUV,汽油,2023.09,4年或10万公里
长安,长安Lumin,https://p3-dcd.byteimg.com/img/motor-img/fa1ac73822c3176cc2c8b823e672b974~tplv-resize:640:0.png,13446,"[3.99, 6.19]",长安汽车,34,微型车,纯电动,2023.08,3年或12万公里
宝马,宝马3系,https://p3-dcd.byteimg.com/img/motor-img/b4f69ed40e9e2f4f40a8874ce323e181~tplv-resize:640:0.png,13199,"[24.39, 33.49]",华晨宝马,35,中型车,汽油,2022.08,3年或10万公里
丰田,威兰达,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/39f96820a5e244b8a11ce5fae05c2006~tplv-resize:640:0.png,13097,"[14.58, 23.48]",广汽丰田,36,紧凑型SUV,汽油,2023.03,3年或10万公里
理想汽车,理想L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d17549a2151349bb92d57dfdb7ce2374~tplv-resize:640:0.png,12752,"[31.98, 37.98]",理想汽车,37,中大型SUV,增程式,2023.02,5年或10万公里
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ced6f5cfd808493d8380351b584516c2~tplv-resize:640:0.png,12509,"[38.78, 49.13]",北京奔驰,38,中型SUV,48V轻混系统,2023.04,3年不限公里
比亚迪,汉DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a965de726e8a43909ebfe83ae9325804~tplv-resize:640:0.png,12355,"[18.98, 31.18]",比亚迪,39,中大型车,插电式混合动力,2023.05,6年或15万公里
奥迪,奥迪A4L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/db765ed4695e4d1e808f3344a2637ff8~tplv-resize:640:0.png,12309,"[24.78, 31.18]",一汽-大众奥迪,40,中型车,汽油,2023.03,3年或10万公里
大众,宝来,https://p3-dcd.byteimg.com/img/motor-img/dbd8f3ffb172ce6ef271849013b14763~tplv-resize:640:0.png,11935,"[8.38, 13.1]",一汽-大众,41,紧凑型车,汽油,2022.11,3年或10万公里
奥迪,奥迪Q5L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67161a339e5c4639bdcfc59d4b67efc9~tplv-resize:640:0.png,11804,"[29.76, 36.66]",一汽-大众奥迪,42,中型SUV,汽油,2023.01,3年或10万公里
吉利汽车,帝豪,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/02331e293a0745c18554272bcedffff3~tplv-resize:640:0.png,11760,"[5.79, 11.78]",吉利汽车,43,紧凑型车,汽油,2023.06,4年或15万公里
比亚迪,秦PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a0cc62d5e0e7440dbd10b61b898f34d8~tplv-resize:640:0.png,11654,"[12.98, 20.99]",比亚迪,44,紧凑型车,纯电动,2023.04,6年或15万公里
别克,别克GL8,https://p3-dcd.byteimg.com/img/motor-img/1b5d71c459535ea55476f5dd7a91be6c~tplv-resize:640:0.png,11438,"[23.28, 47.38]",上汽通用别克,45,中大型MPV,48V轻混系统,2023.02,3年或10万公里
吉利汽车,博越L,https://p3-dcd.byteimg.com/img/motor-img/1214ac87d1a1f6dd0313f3d3d336c2eb~tplv-resize:640:0.png,11271,"[11.37, 16.07]",吉利汽车,46,紧凑型SUV,汽油,2022.10,4年或10万公里
理想汽车,理想L8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/df46af6b3ad1439f83d4448cfb729918~tplv-resize:640:0.png,11227,"[33.98, 39.98]",理想汽车,47,中大型SUV,增程式,2023.02,5年或10万公里
吉利银河,银河L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1454f92451164472a8fa0973ac768322~tplv-resize:640:0.png,11117,"[13.87, 18.57]",吉利银河,48,紧凑型SUV,插电式混合动力,2023.05,6年或15万公里
奇瑞,瑞虎8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/734a4fbac7cf461293613d4f1a478e5b~tplv-resize:640:0.png,11089,"[8.69, 16.8888]",奇瑞汽车,49,中型SUV,汽油,2022.08,3年或10万公里
理想汽车,理想L9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4f056cfb109c43308e929851d8764605~tplv-resize:640:0.png,10933,"[42.98, 45.98]",理想汽车,50,大型SUV,增程式,2023.08,5年或10万公里
吉利汽车,星瑞,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4fc66389c5644e648c5093b476ccd036~tplv-resize:640:0.png,10345,"[10.87, 13.77]",吉利汽车,51,紧凑型车,汽油,2023.06,4年或10万公里
宝马,宝马5系,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/3f20faf0fbf746ec82436c7e8dbf57e3~tplv-resize:640:0.png,10291,"[34.75, 47.35]",华晨宝马,52,中大型车,汽油,2023.01,3年或10万公里
捷途,捷途X70,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9f9edd2f1b8f4ff68538900708783c01~tplv-resize:640:0.png,10114,"[7.49, 16.79]",奇瑞汽车,53,中型SUV,汽油,2023.05,4年或10万公里
深蓝汽车,深蓝S7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f51d4ff960ed499ea4b443967ee6b0fe~tplv-resize:640:0.png,10037,"[14.99, 20.29]",深蓝汽车,54,中型SUV,增程式,2023.06,3年或12万公里
零跑汽车,零跑C11,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5f33df9609c142048ca10d8f868db3b5~tplv-resize:640:0.png,10024,"[14.98, 23.98]",零跑汽车,55,中型SUV,增程式,2023.03,4年或12万公里
长安,长安UNI-V,https://p3-dcd.byteimg.com/img/motor-img/0d4710a714c5c25fe9c61fb95986f388~tplv-resize:640:0.png,9863,"[9.89, 13.39]",长安汽车,56,紧凑型车,汽油,2023.04,3年或10万公里
本田,型格,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc48ceffe1394c528b45bb3a5042f890~tplv-resize:640:0.png,9851,"[9.99, 16.89]",广汽本田,57,紧凑型车,汽油,2023.02,3年或10万公里
比亚迪,唐DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/27126880f70d400e9a69ca835db3a11b~tplv-resize:640:0.png,9820,"[20.98, 33.18]",比亚迪,58,中型SUV,插电式混合动力,2023.03,6年或15万公里
宝马,宝马X3,https://p9-dcd.byteimg.com/img/motor-img/77da976a9938b0ec5fc46615b7715e74~tplv-resize:640:0.png,9816,"[31.96, 40.69]",华晨宝马,59,中型SUV,汽油,2023.02,3年或10万公里
比亚迪,宋PLUS EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fa73e1ea76ca4aa9aa291fd9d73dbf98~tplv-resize:640:0.png,9750,"[16.98, 20.98]",比亚迪,60,紧凑型SUV,纯电动,2023.06,6年或15万公里
腾势,腾势D9 DM-i,https://p3-dcd.byteimg.com/img/motor-img/33c228a4d0101c510250f1095b554e5e~tplv-resize:640:0.png,9734,"[33.58, 44.58]",腾势汽车,61,中大型MPV,插电式混合动力,2023.08,6年或15万公里
广汽传祺,传祺M8,https://p3-dcd.byteimg.com/img/motor-img/6e784e8e17abc04adea0d726fe51ff69~tplv-resize:640:0.png,9677,"[17.38, 34.28]",广汽乘用车,62,中大型MPV,汽油,2023.07,3年或10万公里
大众,凌渡,https://p3-dcd.byteimg.com/img/motor-img/ae40d0483339787e87eabcd7b1b95edf~tplv-resize:640:0.png,9587,"[11.89, 16.59]",上汽大众,63,紧凑型车,汽油,2023.08,3年或10万公里
雪佛兰,科鲁泽,https://p3-dcd.byteimg.com/img/motor-img/f63e0947469ae2d9cee05bbdc33f514f~tplv-resize:640:0.png,9511,"[6.99, 8.39]",上汽通用雪佛兰,64,紧凑型车,汽油,2023.06,3年或10万公里
宝马,宝马X5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png,9452,"[58.2, 77]",华晨宝马,65,中大型SUV,48V轻混系统,2023.08,3年或10万公里
本田,皓影,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/79f94bbb948e4a3d8335d983dbdd3812~tplv-resize:640:0.png,9412,"[14.59, 24.59]",广汽本田,66,紧凑型SUV,汽油,2022.12,3年或10万公里
比亚迪,汉EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e6d6f7c2291d47f6a4a7d19c3ec01892~tplv-resize:640:0.png,9405,"[20.98, 33.18]",比亚迪,67,中大型车,纯电动,2023.03,6年或15万公里
大众,探岳,https://p9-dcd.byteimg.com/img/motor-img/fa07dcebd6da68142bf78b8afc536956~tplv-resize:640:0.png,9281,"[17.09, 22.59]",一汽-大众,68,中型SUV,汽油,2022.08,3年或10万公里
别克,君威,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/65ca9a0988cf45e29d3c04aca829f355~tplv-resize:640:0.png,9268,"[11.28, 19.98]",上汽通用别克,69,中型车,汽油,2023.07,3年或10万公里
比亚迪,驱逐舰 05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fdd396bacd4e433699c66a8dc73db8db~tplv-resize:640:0.png,9218,"[9.88, 15.48]",比亚迪,70,紧凑型车,插电式混合动力,2023.04,6年或15万公里
日产,天籁,https://p3-dcd.byteimg.com/img/motor-img/8e074b2ea146302687d68d1e51adfb3c~tplv-resize:640:0.png,9189,"[15.18, 21.18]",东风日产,71,中型车,汽油,2022.09,3年或10万公里
丰田,亚洲龙,https://p3-dcd.byteimg.com/img/motor-img/5130f932ae52503625175eb6e79aaa5a~tplv-resize:640:0.png,9146,"[17.18, 25.18]",一汽丰田,72,中型车,汽油,2023.05,4年或10万公里
红旗,红旗H5,https://p3-dcd.byteimg.com/img/motor-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png,9085,"[12.98, 19.58]",一汽红旗,73,中型车,汽油,2023.08,4年或10万公里
吉利汽车,熊猫,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/28f29906b5d448e7b69fdc32ea85b485~tplv-resize:640:0.png,8855,"[2.99, 5.19]",吉利汽车,74,微型车,纯电动,2023.09,3年或12万公里
红旗,红旗HS5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c20137f882ec47cda4c0e54e82aa1f48~tplv-resize:640:0.png,8779,"[15.88, 22.48]",一汽红旗,75,中型SUV,汽油,2023.05,4年或10万公里
五菱汽车,五菱宏光,https://p3-dcd.byteimg.com/img/motor-img/5e5eb3f0b2e232525d8d7f1d44fa55fb~tplv-resize:640:0.png,8707,"[4.58, 5.99]",上汽通用五菱,76,微面,汽油,2022.07,3年或10万公里
大众,途岳,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7af39d3a968446848f32b453d0211164~tplv-resize:640:0.png,8611,"[13.36, 19.16]",上汽大众,77,紧凑型SUV,汽油,2023.03,3年或10万公里
蔚来,蔚来ES6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/64a3a0a4ae604ebab934377a157a9851~tplv-resize:640:0.png,8601,"[33.8, 39.6]",蔚来,78,中型SUV,纯电动,2023.05,3年或12万公里
坦克,坦克300,https://p3-dcd.byteimg.com/img/motor-img/53d89e20ef5df0119912ecfc6db642ae~tplv-resize:640:0.png,8558,"[19.98, 30.28]",长城汽车,79,紧凑型SUV,汽油,2023.08,5年或15万公里
丰田,雷凌,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4be933594d45455592d516c912d27b69~tplv-resize:640:0.png,8259,"[9.78, 13.88]",广汽丰田,80,紧凑型车,汽油,2023.03,3年或10万公里
别克,昂科威,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8c49aa2236a74207a201bac3a1f90046~tplv-resize:640:0.png,8239,"[16.49, 24.89]",上汽通用别克,81,中型SUV,48V轻混系统,2023.03,3年或10万公里
丰田,汉兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f1126e1c10d7481a865e1864ae09118d~tplv-resize:640:0.png,8042,"[24.78, 32.78]",广汽丰田,82,中型SUV,油电混合,2023.06,3年或10万公里
大众,大众ID.3,https://p3-dcd.byteimg.com/img/motor-img/28ea7241eb7d6c429c02f566bfb430be~tplv-resize:640:0.png,7985,"[12.59, 14.99]",上汽大众,83,紧凑型车,纯电动,2023.04,3年或10万公里
现代,伊兰特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9df2036fdb244307bed69e9e03cf2368~tplv-resize:640:0.png,7895,"[7.38, 11.58]",北京现代,84,紧凑型车,汽油,2023.08,3年或10万公里
别克,威朗,https://p9-dcd.byteimg.com/img/motor-img/f935e27660580af362e268ff6a476c00~tplv-resize:640:0.png,7861,"[8.39, 11.39]",上汽通用别克,85,紧凑型车,汽油,2022.10,3年或10万公里
奇瑞,艾瑞泽8,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d8d9de3901d34378b2fd87287e07b7fa~tplv-resize:640:0.png,7538,"[9.89, 13.79]",奇瑞汽车,86,紧凑型车,汽油,2023.07,3年或10万公里
长安,长安CS55 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c944886785cc4dea89c3638f50c33e11~tplv-resize:640:0.png,7368,"[7.79, 11.39]",长安汽车,87,紧凑型SUV,汽油,2023.09,3年或10万公里
小鹏汽车,小鹏G6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67c41851c96341c19c0461ff9db91911~tplv-resize:640:0.png,7068,"[20.99, 27.69]",小鹏汽车,88,中型SUV,纯电动,2023.06,5年或12万公里
本田,本田XR-V,https://p3-dcd.byteimg.com/img/motor-img/75fc061a24092b6aa7cca9a14f8e8a2e~tplv-resize:640:0.png,6992,"[8.99, 12.29]",东风本田,89,小型SUV,汽油,2023.08,3年或10万公里
本田,雅阁,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/01ea2955a1cb44ff8f048e3deabf2c17~tplv-resize:640:0.png,6915,"[13.98, 22.98]",广汽本田,90,中型车,汽油,2023.05,3年或10万公里
捷达,捷达VS5,https://p9-dcd.byteimg.com/img/motor-img/4e0ece8f2c30e8a65193f373a1b02195~tplv-resize:640:0.png,6904,"[7.67, 11.18]",一汽-大众捷达,91,紧凑型SUV,汽油,2023.05,3年或10万公里
奔驰,奔驰GLB,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a6d8b5b53eea4e509f177b2be32faf97~tplv-resize:640:0.png,6903,"[23.98, 30.79]",北京奔驰,92,紧凑型SUV,汽油,2023.08,3年不限公里
极氪,ZEEKR 001,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5ae619a7dcb244778e7dac067784674b~tplv-resize:640:0.png,6822,"[26.9, 37.2]",极氪,93,中大型车,纯电动,2023.01,4年或10万公里
凯迪拉克,凯迪拉克CT5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f46f8b91a9844a19928567a73e863101~tplv-resize:640:0.png,6764,"[21.47, 29.67]",上汽通用凯迪拉克,94,中型车,汽油,2023.04,3年不限公里
吉利汽车,缤越,https://p3-dcd.byteimg.com/img/motor-img/d119bbcc22df849ce240cd08c329eabb~tplv-resize:640:0.png,6762,"[6.58, 11.18]",吉利汽车,95,小型SUV,汽油,2023.05,4年或10万公里
丰田,赛那,https://p3-dcd.byteimg.com/img/motor-img/3d40895e3ab4e118a086187f7e78ebba~tplv-resize:640:0.png,6668,"[30.98, 41.18]",广汽丰田,96,中大型MPV,油电混合,2023.03,3年或10万公里
领克,领克06,https://p3-dcd.byteimg.com/img/motor-img/189c2b11c6396ed5c63d9db5a57e6341~tplv-resize:640:0.png,6563,"[11.06, 13.18]",领克,97,小型SUV,汽油,2022.09,4年或10万公里
长安欧尚,长安欧尚Z6,https://p9-dcd.byteimg.com/img/motor-img/252d100a630cf9298e8d357fe7ee8ffc~tplv-resize:640:0.png,6405,"[9.59, 12.79]",长安汽车,98,紧凑型SUV,汽油,2023.06,3年或10万公里
欧拉,欧拉好猫,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4d618ed49b0e4372b02670629a04f337~tplv-resize:640:0.png,6383,"[10.78, 14.58]",长城汽车,99,小型车,纯电动,2023.02,4年或15万公里
领克,领克03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/496f813bab0e479cb6484b656f93e1d8~tplv-resize:640:0.png,6143,"[12.98, 25.68]",领克,100,紧凑型车,油电混合,2022.09,4年或10万公里
沃尔沃,沃尔沃XC60,https://p3-dcd.byteimg.com/img/motor-img/058f6dd326221149f0f7d23aec62600c~tplv-resize:640:0.png,6108,"[28.39, 38.09]",沃尔沃亚太,101,中型SUV,48V轻混系统,2023.05,3年不限公里
红旗,红旗E-QM5,https://p3-dcd.byteimg.com/img/motor-img/3174065ca959cf593465c373c7722041~tplv-resize:640:0.png,6045,"[12.28, 23.97]",一汽红旗,102,中型车,纯电动,2023.05,4年或10万公里
吉利汽车,博越,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9ab4d56315ff4d8c98ee26346d40f71d~tplv-resize:640:0.png,6011,"[9.48, 11.78]",吉利汽车,103,紧凑型SUV,汽油,2023.04,4年或10万公里
马自达,马自达3 昂克赛拉,https://p3-dcd.byteimg.com/img/motor-img/2ed9950bbf60e473727cf3735528e032~tplv-resize:640:0.png,6000,"[8.99, 18.99]",长安马自达,104,紧凑型车,汽油,2023.07,3年或10万公里
宝马,宝马X1,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c9c9c02010874036a2f03c203ca1238a~tplv-resize:640:0.png,5859,"[20.89, 26.99]",华晨宝马,105,紧凑型SUV,汽油,2023.04,3年或10万公里
北京汽车,北京EU5,https://p3-dcd.byteimg.com/img/motor-img/fac9641308c9c3c9b23765bdcbdd6697~tplv-resize:640:0.png,5849,"[12.99, 17.19]",北京汽车,106,紧凑型车,纯电动,2022.09,3年或12万公里
日产,奇骏,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5ae572c93a99402d89bab23657b64d6e~tplv-resize:640:0.png,5695,"[15.33, 24.69]",东风日产,111,紧凑型SUV,汽油电驱,2023.05,3年或10万公里
长安欧尚,长安欧尚X5 PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/25c33039c0be42f59061e2dbd0ce9ae5~tplv-resize:640:0.png,5665,"[8.19, 10.59]",长安汽车,112,紧凑型SUV,汽油,2023.04,3年或10万公里
哪吒汽车,哪吒AYA,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/181eb1cb372d46b292dc0c4da1a252a3~tplv-resize:640:0.png,5609,"[7.38, 8.88]",合众汽车,113,小型SUV,纯电动,2023.08,3年或12万公里
福特,蒙迪欧,https://p3-dcd.byteimg.com/img/motor-img/89e3909ed08a5cbe861bcf9ff9946ad7~tplv-resize:640:0.png,5406,"[13.78, 20.48]",长安福特,114,中型车,汽油,2023.07,3年或10万公里
广汽传祺,传祺M6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/7f73f6f447314098ac00754b8b25efd2~tplv-resize:640:0.png,5405,"[11.18, 15.18]",广汽乘用车,115,紧凑型MPV,汽油,2022.12,3年或10万公里
哈弗,哈弗枭龙MAX,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/94de8037fafe42d78886694b51b82c12~tplv-resize:640:0.png,5156,"[15.38, 17.38]",长城汽车,116,中型SUV,插电式混合动力,2023.05,6年或15万公里
现代,途胜,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bf633f3ae4984a7fbf278883e308ca18~tplv-resize:640:0.png,5058,"[12.88, 19.28]",北京现代,117,紧凑型SUV,汽油,2022.11,可选:3年或15万公里/5年或10万公里/7年或7万公里
